review_text,subtheme_sentiments_pred
easily understand process excellent fitment,"[('process excellent fitment', 'positive')]"
garage excellent smooth service thank,"[('garage excellent smooth service thank', 'positive')]"
redact twice good second poor,"[('second', 'neutral')]"
easy use website great deal price quick fitment date,"[('easy use website great deal price quick fitment date', 'positive')]"
cheap good service,"[('cheap good service', 'positive')]"
great service competitive price ats fitter excellent,"[('great service competitive price ats fitter excellent', 'positive')]"
good price easy use website local garage,"[('good price easy use website local garage', 'positive')]"
reasonable price local fitting,"[('reasonable price', 'neutral'), ('local fitting', 'neutral')]"
simple easy order fit,"[('simple easy order', 'positive')]"
able choose exact tyre want,"[('exact tyre', 'neutral')]"
excellent service excellent garage,"[('excellent service excellent garage', 'positive')]"
quick easy way order plus garage choice excellent,"[('quick easy way order', 'positive'), ('garage choice', 'neutral')]"
redact offer good price find website easy use plenty choice have fitter come house convenient not recommend highly,"[('plenty choice', 'neutral'), ('redact', 'neutral'), ('website', 'neutral'), ('fitter come house', 'neutral')]"
easy use good price tyre overall great experience,"[('good price tyre', 'positive')]"
price fair service excellent,"[('fair service', 'positive')]"
good website easy use wide range tyre competitive price good range fitting place choose problem continue use,"[('choose problem', 'negative'), ('good website', 'positive'), ('wide range tyre competitive price good range fitting place', 'positive')]"
easy way save money have shop get tyre cheap,"[('shop', 'neutral'), ('money', 'neutral'), ('tyre', 'neutral')]"
price easy change appointment time great interface use,"[('price easy change appointment time great interface use', 'positive')]"
good servicd,"[('good servicd', 'positive')]"
happy deal not normally recommend thing,"[('happy deal', 'positive'), ('thing', 'neutral')]"
easy book great service provider,"[('easy book great service provider', 'positive')]"
efficient service good saving,"[('efficient service good saving', 'positive')]"
easy book local fitting centre   know need stock,"[('easy book local fitting centre', 'positive'), ('stock', 'neutral')]"
solid experience good thing ahrd contact garage need reschedule appointment constantly answer phone get eventually,"[('reschedule appointment', 'neutral'), ('phone get', 'neutral'), ('solid experience good thing ahrd contact garage', 'positive')]"
choice price,"[('choice price', 'neutral')]"
not deliver date request recommend,"[('date request', 'neutral')]"
good choice price information process service,"[('good choice price information process service', 'positive')]"
good choice tyre easy booking process fitter excellent,"[('good choice', 'positive'), ('tyre easy booking process fitter', 'positive')]"
good service small problem delivery ie tyre arrive time car book garage rectify quickly,"[('good service small problem delivery', 'positive'), ('tyre arrive time car book garage', 'neutral')]"
ease use work budget have mobile tyre fitter huge bonus available definitely use,"[('ease use work budget', 'positive'), ('mobile tyre fitter huge bonus', 'positive')]"
price tyre good customer service garage fit tyre polite friendly efficient,"[('fit tyre', 'positive')]"
great service good price arrangement spot cheer,"[('great service good price arrangement spot cheer', 'positive')]"
easy order online competetive price,"[('easy order online competetive price', 'positive')]"
order 4 tyre online fit locally 4 day notice tyre deliver agree fitting time mean double taxi ride fitter location day car tyre deliver 3 pm original fitting time thing morning,"[('4 day', 'neutral'), ('4', 'neutral'), ('3 pm', 'neutral'), ('4 tyre', 'neutral'), ('double taxi ride fitter location day car tyre', 'neutral'), ('locally 4 day notice tyre deliver', 'neutral')]"
great website good price,"[('great website good price', 'positive')]"
good price,"[('good price', 'positive')]"
process easy order tyre home fitting good fitter chris come helpful efficient,"[('process easy order tyre home', 'positive'), ('chris', 'neutral')]"
quick delivery right price excellent fitting,"[('quick delivery right price', 'neutral'), ('excellent fitting', 'positive')]"
tyre great value,"[('tyre great value', 'positive')]"
easy use great value money garage fantastic,[]
value ease transaction,"[('value ease transaction', 'positive')]"
easy use efficient value money,"[('easy use efficient value money', 'positive')]"
redact tyre quick easy order tyre online get deliver garage choice get date fitting take car tyre fit issue know buy tyre quick easy hassle,"[('date fitting take car tyre fit issue', 'positive'), ('tyre quick easy order', 'positive'), ('tyre online', 'neutral'), ('deliver garage choice', 'neutral'), ('tyre quick easy hassle', 'positive')]"
fast reliable service fast   reliable service professionally fit garage choose unbeatable price class service,"[('professionally fit garage', 'positive'), ('unbeatable price class service', 'neutral'), ('fast reliable service fast   reliable service', 'neutral')]"
tyre ready wait fit good time like bookable time slot wait start car,"[('bookable time slot', 'neutral'), ('start car', 'neutral'), ('tyre ready', 'positive'), ('tyre', 'neutral')]"
easy purchase website competitive price cheap tyre garage fitting slot,"[('easy purchase website competitive price', 'positive'), ('cheap tyre garage fitting slot', 'neutral')]"
excellent service great price ideal location fit ask,"[('excellent service great price ideal location fit', 'positive')]"
excellent tyre service fitter,"[('excellent tyre service fitter', 'positive')]"
booking appointment system need improve book confirm ats day   cancel confirm appointment ats 3 time 1100am follow day advise at 1030am start work car 20pm,"[('appointment system', 'neutral'), ('1030am start work car', 'neutral'), ('3', 'neutral'), ('confirm appointment', 'neutral')]"
purchase complete set continental contact 6 tyre vehicle year accident damage repair contact redact order replacement request deal efficiently professionally fitting time date complete expect,"[('6', 'neutral'), ('vehicle year', 'neutral'), ('tyre vehicle year accident damage repair contact redact order replacement request deal', 'negative'), ('professionally fitting time date', 'neutral'), ('continental contact', 'neutral')]"
redact extensive range tyre suit budget website easy use fitting station grade accord service facility offer,"[('extensive range tyre suit budget website', 'neutral'), ('fitting station grade accord service facility offer', 'neutral')]"
good service late delivery time book book change 2front tyre ask new normal practice lot argue change extra money big good tyre service free use garage,"[('2front', 'neutral'), ('big good tyre service free use garage', 'positive'), ('tyre', 'neutral'), ('extra money', 'neutral'), ('good service', 'positive'), ('new normal practice lot', 'neutral'), ('late delivery time book book change', 'neutral')]"
great value easy arrange happy service overall,"[('great value', 'positive')]"
good service fair pricing good fitter,"[('good service fair pricing good fitter', 'positive')]"
tyre supply poor quality unknown chinese manufacturer,"[('poor quality unknown chinese manufacturer', 'negative'), ('chinese', 'neutral'), ('tyre supply', 'neutral')]"
ask mobile fit service receive email state upto 1 pm   sure mean 12 fitter turn 220,"[('12 fitter turn', 'neutral'), ('220', 'neutral'), ('mobile fit service', 'positive'), ('12', 'neutral'), ('email state upto 1 pm', 'neutral'), ('1 pm', 'neutral')]"
"send wrong location sms "" day "" job book time 1hr later expect requirement onsite wrong hand camera facility middle industrial park reception room design 34 hour stay","[('wrong location sms "" day "" job book time 1hr', 'negative'), ('34 hour', 'neutral'), ('1hr', 'neutral'), ('wrong hand camera facility middle industrial park reception room', 'neutral'), ('requirement', 'neutral')]"
terrible customer service rude staff pleseant,"[('terrible customer service rude staff pleseant', 'negative')]"
appointment time choose approve   match get garage   difference nearly4 hour,"[('approve   match', 'neutral'), ('nearly4 hour', 'neutral'), ('appointment time', 'neutral')]"
great service easy use book appointment tyre fit,"[('great service easy use book appointment tyre fit', 'positive')]"
competitive price excellent fitting option,"[('competitive price excellent fitting option', 'positive')]"
good value easy arrangement,"[('good value easy arrangement', 'positive')]"
easy ordergood pricelocal fitting service near plus lifetime guarantee,"[('guarantee', 'positive'), ('easy ordergood pricelocal fitting service', 'positive')]"
order process go smooth fitting arrangement confirm email appoint garage efficient good price tyre use,"[('smooth fitting arrangement', 'neutral'), ('email appoint garage efficient good price tyre use', 'positive'), ('order process', 'neutral')]"
not arrive time state stay morning husband check tyre replace wheel trim fit correctly,"[('morning', 'neutral'), ('husband', 'neutral'), ('state', 'neutral')]"
price friendly service convenient oversell,"[('price friendly service convenient oversell', 'positive')]"
disappointingmy review reflect individual garage tyre car phone advance arrival time tell quiet arrive exactly say tell terribly busy wait total 1 hour 45 minute actual fitting time car take 15 minute waiting room dingy dirty magazine elderly tear coffee machine cup coffee pod try loo waiting room will not try fitter home fitting option hard tell save choose tyre previous supplier stock wheel alignment garage,"[('total 1 hour 45 minute actual fitting time car', 'neutral'), ('15 minute', 'neutral'), ('wait', 'neutral'), ('dirty magazine elderly tear coffee machine cup coffee pod try loo waiting room', 'negative'), ('fitter home fitting option', 'neutral'), ('1 hour 45 minute', 'neutral'), ('individual garage tyre car phone advance arrival time', 'neutral'), ('disappointingmy review', 'neutral'), ('save', 'positive'), ('tyre previous supplier stock wheel alignment garage', 'neutral'), ('15 minute waiting room', 'neutral'), ('quiet arrive', 'neutral')]"
operative excellent professional helpful person work double booking person available,"[('double booking person', 'neutral'), ('operative excellent professional helpful person', 'positive')]"
efficientwhen 1st garage select not help quickly find close byi not fault,"[('close byi', 'neutral'), ('1st', 'neutral'), ('efficientwhen 1st garage', 'neutral')]"
having originally book pay tyre fitting receive email redact advise book information correct garage advise fit tyre open saturday afternoon call rearrange arrange call follow day finally arrange mobile tyre fitter come fit tyre saturday morning fitter turn despite repeat call confirm arrive subsequently post card door sunday morning inform need tyre fit saturday morningthey eventually replace tyre monday complain redact send email offer 10 discount purchase discount terrible customer service,"[('monday', 'neutral'), ('morning', 'neutral'), ('10 discount purchase discount terrible customer service', 'negative'), ('sunday', 'neutral'), ('saturday afternoon call rearrange arrange call follow day', 'neutral'), ('saturday', 'neutral'), ('tyre monday complain redact', 'negative'), ('10', 'neutral'), ('mobile tyre fitter', 'neutral'), ('morningthey', 'neutral'), ('saturday morning fitter turn', 'neutral'), ('book', 'neutral'), ('repeat call', 'neutral'), ('subsequently post card door', 'neutral'), ('afternoon', 'neutral'), ('tyre fitting receive email redact', 'neutral'), ('fit tyre', 'positive'), ('sunday morning inform', 'neutral'), ('email', 'neutral')]"
number time time garage usually use at kendal option think close go garage kendal garage un organise expect ring confirm time wheel balance poor steering wheel shake wheel balance car service,"[('number time time garage', 'positive'), ('ring', 'neutral'), ('garage kendal garage un organise', 'neutral'), ('time wheel balance poor steering wheel shake wheel balance car service', 'negative'), ('kendal option', 'neutral'), ('un', 'neutral')]"
excellent service helpful discussion staff help rearrange date fitting,"[('excellent service helpful discussion staff', 'positive'), ('date', 'neutral')]"
good price service,"[('good price service', 'positive')]"
good website easy order quick appointment tyre fit phone 4 tyre supplier redact cheap 3 bridgestone run flat need bmw certainly use tell friend family,"[('tell friend family', 'positive'), ('bmw', 'neutral'), ('4', 'neutral'), ('3 bridgestone', 'neutral'), ('3', 'neutral'), ('flat need', 'neutral'), ('quick appointment tyre', 'neutral')]"
need 3 new tyre bmw redact cheap easy website order tyre quick fitting appointment,"[('3', 'neutral'), ('bmw', 'neutral'), ('3 new tyre bmw', 'neutral'), ('cheap easy website order tyre quick fitting appointment', 'positive')]"
great service good price tyre,"[('great service good price tyre', 'positive')]"
reasonable price choicenot sure get correct tyre bad weather go web site description season tyre point tread not like season tyre,"[('correct tyre bad weather', 'negative'), ('reasonable price choicenot', 'neutral'), ('season tyre', 'neutral')]"
excellent service order tyre online redact past 5 year reliable local garage efficient fit tyre quickly 55,"[('55', 'neutral'), ('5 year', 'neutral'), ('5 year reliable local garage efficient fit tyre', 'positive'), ('excellent service order tyre online redact', 'positive')]"
little cheap buying tyre redact   easy convenient choose local tyre fittersi slight problem delivery order 4 tyre 3 arrive day fitting 40 minute fourth tyre arrive slightly concerned order tyre 2 week advance fitting day feel little let downother m happy good year tyresredacte need accurate delivery lose confidence future customer,"[('2 week advance fitting day', 'neutral'), ('3 arrive day', 'neutral'), ('fourth tyre', 'neutral'), ('4', 'neutral'), ('local tyre fittersi slight problem delivery order', 'negative'), ('tyresredacte', 'neutral'), ('2 week', 'neutral'), ('little cheap buying tyre redact', 'neutral'), ('accurate delivery', 'neutral'), ('downother', 'neutral'), ('confidence future customer', 'positive'), ('slightly concerned order tyre', 'neutral'), ('40 minute', 'neutral'), ('fourth', 'neutral')]"
great priceeasy navigate websitepainless arrangement installation,"[('great priceeasy', 'positive'), ('websitepainless arrangement installation', 'neutral')]"
option buy car tyre option need new tyre car bad experience lot communication moment purchase tyre online know go tyre deliver local garage fitting mobile fitting option great convenient pick time slot purchase great customer service good equality tyre reservation recommend redact,"[('redact', 'neutral'), ('tyre', 'neutral'), ('car tyre option', 'neutral'), ('option buy', 'neutral'), ('local garage fitting mobile fitting option', 'neutral'), ('great customer service', 'positive')]"
great service communication tyre fit local centre schedule choose date,"[('tyre', 'neutral'), ('date', 'neutral')]"
easy use web site lot option fitting site price ok,"[('easy use web site lot option fitting site price ok', 'positive')]"
convenient good value professional service company provide easy order good choice fitting location time addition price generally good find fit franchise helpful professional,"[('fit franchise', 'positive'), ('convenient good value professional service company', 'positive'), ('easy order good choice fitting location time addition price', 'positive')]"
price tyre good findbooke appointment suitable easytyre fit say time problem,"[('time problem', 'negative'), ('price tyre good findbooke appointment suitable easytyre fit', 'positive')]"
competitively price prompt local fitting service,"[('prompt local fitting service', 'neutral')]"
cancel tyre appointment unforeseen circumstance rebooke appointment available day keep post time fantastic communication thank,"[('post time', 'neutral'), ('fantastic communication thank', 'positive'), ('tyre appointment unforeseen circumstance rebooke appointment', 'neutral')]"
initial booking delay communicate timely manner reschedule issue service select garage good save money redacted result,"[('result', 'neutral'), ('initial booking delay', 'negative'), ('timely manner reschedule issue service select garage good save money', 'positive')]"
easy use give great choice place choose easy book day want quick reply time,"[('quick reply time', 'neutral'), ('great choice place', 'positive'), ('easy use', 'positive')]"
past find price reasonable,"[('past find price', 'neutral')]"
booking get change minute work extremely frustrating inconvenient,"[('booking', 'neutral'), ('extremely frustrating inconvenient', 'negative'), ('change minute work', 'neutral')]"
cheap price online tyre need,"[('online tyre', 'neutral')]"
efficient cost effective service,"[('efficient cost effective service', 'positive')]"
thank redact cheap online price tyre need ease book fit local garage definitely,"[('thank', 'positive'), ('cheap online price tyre need ease book fit local garage', 'positive')]"
garage notch,"[('garage', 'neutral')]"
tyre fitter great job,"[('tyre fitter great job', 'positive')]"
competitive price tyre excellent fitting service   s tyre wheel woodford,"[('competitive price tyre excellent fitting service', 'positive')]"
good service 12 find mobile service   apparently morning appointment run 1300 redactedwould good know,"[('mobile service', 'neutral'), ('1300', 'neutral'), ('good', 'positive'), ('12', 'neutral'), ('apparently morning appointment', 'neutral'), ('good service', 'positive')]"
quick efficient service choose garage,"[('quick efficient', 'positive'), ('quick efficient service', 'positive')]"
staff helpful   s,"[('staff', 'neutral'), ('helpful   s', 'positive')]"
great service competitive price easy order deliver quickly tyre fit swiftly friendly professional team gvs amesbury time specify,"[('quickly tyre fit swiftly friendly professional team gvs', 'positive'), ('great service competitive price easy order', 'positive'), ('amesbury time specify', 'neutral')]"
easy use website good price,"[('easy use website good price', 'positive')]"
easy good price,"[('easy good price', 'positive')]"
great price excellent service fitter,"[('great price excellent service fitter', 'positive')]"
competitive price,"[('competitive price', 'positive')]"
easy use web site garage friendly local great job round,[]
good price rate tyre,"[('good price rate tyre', 'positive')]"
great service prompt curtious fitter work car past,"[('curtious fitter work car', 'neutral')]"
easy order great value money,"[('easy order great value money', 'positive')]"
excellent service wonderful work force trouble thank redact 4 quick rapid response recommend garage fit tyre family friend work colleague excellent work,"[('excellent service wonderful work force trouble thank', 'positive'), ('garage fit tyre family friend work colleague excellent work', 'positive'), ('4 quick rapid response', 'neutral'), ('4', 'neutral')]"
outstanding service outstanding attention outstanding quality lovely people squeeze saturday apparently normally cup teastunning   recommend,"[('outstanding service outstanding attention outstanding quality lovely people', 'positive'), ('saturday', 'neutral')]"
affordable easy,[]
go smoothly quick staff professional,[]
money save tyre money save redact find good deal,"[('save redact', 'positive'), ('money', 'neutral'), ('tyre money', 'neutral'), ('good deal', 'positive')]"
good price easy book hassle say,"[('good price easy book hassle', 'positive')]"
good service good honest service easy arrange line,"[('good service', 'positive'), ('good honest service', 'positive'), ('easy arrange line', 'positive')]"
like choice tyre information available choice safely sensibly regard performance area particularly concern quietness wetgripi like choice fitter flexibility give change timetable minute,"[('performance area', 'neutral'), ('choice fitter flexibility', 'positive'), ('quietness', 'neutral'), ('change timetable minute', 'neutral'), ('choice tyre information available choice', 'neutral'), ('particularly concern', 'neutral')]"
great service easy find industrial estate easy find buntingford auto service great polite friendly service definitely,"[('great service', 'positive'), ('buntingford auto service', 'neutral'), ('industrial estate', 'neutral')]"
tyre deliver fitting company redact tell half day deliver accept error,"[('fitting company redact', 'neutral'), ('half day', 'neutral'), ('tyre', 'neutral'), ('error', 'negative')]"
tyre change time arrive correct time staff tell time work go away come state time car wait drive away waiting accurate time estimate hassle management try sell additional service happy late notification time book tyre early week time note buy tyre say saturday check opening time garage 830 saturday arrange day base get garage 830 check phone message sat morning notice friday evening confirm time 1000 mess previously arrangement actual time give date tyre purchase wait evening prior work,"[('evening', 'neutral'), ('early week time note', 'neutral'), ('morning', 'neutral'), ('saturday arrange day base', 'neutral'), ('tyre', 'neutral'), ('additional service', 'neutral'), ('accurate time estimate hassle management', 'neutral'), ('saturday', 'neutral'), ('830 check phone message', 'neutral'), ('actual time', 'neutral'), ('late notification time book tyre', 'neutral'), ('1000', 'neutral'), ('garage', 'neutral'), ('early week', 'neutral'), ('friday', 'neutral'), ('time work', 'neutral'), ('correct time staff', 'neutral'), ('prior work', 'neutral'), ('830', 'neutral'), ('state time car wait', 'neutral'), ('morning notice', 'neutral'), ('1000 mess', 'negative'), ('opening time garage', 'neutral'), ('date tyre purchase wait', 'neutral')]"
quick easy use find car garage right work convenient,"[('car garage', 'neutral'), ('quick easy use', 'positive'), ('right work', 'neutral')]"
excellent service wincanton motor sport competitive price,"[('excellent service wincanton motor sport competitive price', 'positive'), ('wincanton motor sport', 'neutral')]"
price competitive service excellent,"[('price competitive service', 'positive')]"
easy efficient service allow customer find competitively price tyre choose garage date time convenient   definitely use,"[('customer', 'neutral'), ('price tyre', 'neutral'), ('easy efficient service', 'positive')]"
competitive price good option location fitting centre,"[('competitive price good option location fitting centre', 'positive')]"
quality convenient professional value money service excellent professional service redacted usual 3rd time repeat customer will mobile service convenient job somebody trust scratch alloy   thank redact,"[('quality convenient professional value money service excellent professional service', 'positive'), ('somebody', 'neutral'), ('scratch alloy   thank', 'positive'), ('usual 3rd time repeat customer', 'neutral'), ('3rd', 'neutral')]"
excellent service price time ve site bit sceptical order tyre massively cheap book appointment fitter simple use site tyre fit day later m happy redacted save huge money definitely,"[('huge money', 'positive'), ('tyre', 'neutral'), ('site bit sceptical order tyre', 'negative')]"
easy cheap tyre fit local garage case yard house phone local garage tyre quote 20 redact,"[('20', 'neutral'), ('cheap tyre', 'neutral')]"
excellent price communication service mobile fitter,"[('excellent price communication service mobile fitter', 'positive')]"
easy order straight forward fitting,"[('easy order', 'positive')]"
order pay tyre mercede book local tyre fitting company day fit tell issue not deliver tyre use car holiday day ask refund tell 35 day pocket pay tyre terrible service,"[('refund', 'neutral'), ('local tyre fitting company', 'neutral'), ('fit tell issue', 'positive'), ('order', 'neutral'), ('tyre mercede book', 'neutral'), ('35 day pocket pay tyre terrible service', 'negative'), ('35 day', 'neutral'), ('mercede', 'neutral')]"
great service tudor car service car drop work complete swiftlyi 100 recommend circle tyre,"[('100', 'neutral'), ('circle tyre', 'neutral'), ('great service tudor car service car drop work', 'positive')]"
not use garage get fit say tyre rubbish well tyre fit price,"[('garage', 'neutral'), ('say tyre rubbish', 'neutral')]"
ist class tyre service excellent quality tyre good price plenty choice flexibility choose fitting provider select fitting date armchair,"[('fitting provider select fitting date armchair', 'neutral'), ('ist class tyre service excellent quality tyre good price plenty choice flexibility', 'positive')]"
good service cheap tyre easy use,"[('good service', 'positive')]"
easy use clear option quick good price,"[('clear option', 'positive')]"
class excellent price excellent service fault,"[('class excellent price excellent service fault', 'positive')]"
website easy use quick   offer good pricethe garage great ferris garage outside truro cornwall,"[('truro cornwall', 'neutral'), ('website', 'neutral'), ('good pricethe garage great ferris garage', 'positive')]"
quick easy cheap find order line tyre deliver local garage,"[('local garage', 'neutral'), ('order line tyre', 'neutral')]"
quick easy reasonably price,"[('quick easy reasonably price', 'positive')]"
excellent service arrive promptly   job quickly good definitely recommend,"[('excellent service arrive', 'positive')]"
great price orgainise company experience redactedcom positive order have tyre fit definitely recommend family friend competitive price orgainised company deal,"[('tyre fit', 'positive'), ('great price orgainise company experience redactedcom positive order', 'positive'), ('family friend competitive price orgainised company deal', 'positive')]"
easy use book garage total price give,"[('easy use book garage total price', 'positive')]"
excellent service great price fit service brilliant redact yearsnever let,"[('excellent service great price fit service brilliant redact yearsnever', 'positive')]"
good price deliver fit time easy order like,"[('good price', 'positive'), ('fit time easy order', 'positive')]"
mcconnachy fit tyre great slightly disappointed redacted book time slot later tell not fulfil wait extra week small thing past frustration give saving,"[('mcconnachy fit', 'positive'), ('fit tyre', 'positive'), ('frustration', 'negative')]"
awesome price service awesome price excellent service fit local tyre shop wait tyre come stock worth wait customer life,"[('tyre', 'neutral'), ('customer life', 'neutral'), ('awesome price service awesome price excellent service fit local tyre shop', 'positive')]"
tyre order monday get cancel tuesday cancel wednesday go holiday saturday desperately need tyre long journey real explanation arrange,"[('saturday', 'neutral'), ('tyre order monday get cancel', 'negative'), ('tuesday cancel', 'negative'), ('monday', 'neutral'), ('wednesday go holiday', 'positive'), ('tuesday', 'neutral'), ('tyre', 'neutral'), ('real explanation arrange', 'neutral')]"
great price easy find correct tyre arrange fitting,"[('fitting', 'neutral'), ('correct tyre arrange', 'neutral'), ('great price', 'positive')]"
good selection tyre competitive price plus good group fitting outlet,"[('good selection tyre competitive price', 'positive'), ('good group fitting outlet', 'positive')]"
excellent price mobile fitting service,"[('excellent price mobile fitting service', 'positive')]"
choose tire fit mobile fitterhe turn time great jobthe process choose purchase tire great,"[('great jobthe process', 'positive'), ('tire fit mobile fitterhe', 'positive'), ('purchase tire', 'neutral')]"
everthing go smoothly nice friendly staff not wait long easy follow website complaint,"[('long easy follow website complaint', 'positive'), ('everthing', 'neutral'), ('smoothly nice friendly staff', 'positive')]"
good tyre nice simple simple buying process good service great price ask fori tyre fit ats buy redact meaning tyre 25 cheap buy ats staff service couple day waitthese tyre handle ask nice quiet tyre life see,"[('nice quiet tyre life', 'positive'), ('25 cheap buy ats staff service', 'neutral'), ('redact', 'neutral'), ('fori tyre fit ats', 'positive'), ('waitthese', 'neutral'), ('tyre', 'neutral'), ('good tyre nice simple simple buying process good service great price', 'positive'), ('25', 'neutral')]"
order fitting ats euro master llandudno happy tyre service alloy wheel damage wheel cap come straight away change tyre staff say break not belive change not get problem tyre brighstone turanza good highly recommend,"[('problem tyre brighstone turanza', 'negative'), ('order fitting ats euro master llandudno happy tyre service alloy wheel damage wheel cap', 'positive'), ('change tyre staff', 'neutral'), ('belive change', 'neutral')]"
not well redact year competitive everconvenient fit appointment local garage brand rational price sure improve offer pretty good,"[('year', 'neutral'), ('year competitive everconvenient fit appointment local garage brand rational price', 'positive')]"
good price find brand tyre,"[('brand tyre', 'neutral'), ('good price', 'positive')]"
easy order good choice local fitting garage,"[('easy order good choice local fitting garage', 'positive')]"
wide choice tyre choose price range easy,"[('wide choice tyre', 'neutral'), ('price range', 'neutral')]"
amazing customer service puncture run flat tyre buy 6 week prior warranty tyre guy sale amazing understand difficulty help price tyre break bank,"[('amazing customer service puncture', 'positive'), ('price tyre break bank', 'neutral'), ('flat tyre', 'neutral'), ('6 week prior warranty tyre guy sale amazing understand difficulty', 'positive'), ('6 week', 'neutral')]"
redact tyre excellent andhappy customer good price redact tyre excellent affordable price day man afford redact tyre fitting service use professional knowledgeable people,"[('day', 'neutral'), ('professional knowledgeable people', 'neutral'), ('tyre fitting service', 'neutral'), ('tyre excellent andhappy customer good price redact tyre excellent affordable price day man', 'positive')]"
complaint despite receive automate response respond acknowledgment work day fail view initial complaint plus fact unable promise regard complaint procedure recommend company,"[('day', 'neutral'), ('fact unable promise regard complaint procedure', 'neutral'), ('complaint', 'negative')]"
wait game artive ats garage time allot 4 pm appointment bearing mind need 5 minute wait 34 hour finally fit tyre take 30 minute bother schedule appointment wait hour,"[('mind', 'neutral'), ('30 minute', 'neutral'), ('4 pm', 'neutral'), ('5 minute wait', 'neutral'), ('hour', 'neutral'), ('34 hour', 'neutral'), ('tyre', 'neutral'), ('game', 'neutral'), ('5 minute', 'neutral'), ('30 minute bother schedule appointment', 'negative'), ('4 pm appointment', 'neutral')]"
get puncture repair run flat tyre 4 new tyre buy guy speak sale amazing truely understanding issue,"[('4 new tyre buy guy', 'neutral'), ('puncture repair', 'neutral'), ('4', 'neutral'), ('sale', 'neutral'), ('issue', 'neutral'), ('flat tyre', 'neutral'), ('new tyre', 'neutral')]"
originally quote tyre fit 9th august fit 13th tyre available 13th know purchase issue,"[('9th', 'neutral'), ('purchase issue', 'neutral'), ('originally quote tyre fit 9th august fit 13th tyre available 13th', 'positive'), ('13th', 'neutral')]"
good tyre discount price,"[('good tyre discount price', 'positive')]"
good site price nontechnicallymechanically minded folk find process daunt simply change,"[('good site price nontechnicallymechanically minded folk find process daunt', 'positive')]"
entire transaction smooth efficient good value,"[('smooth efficient good value', 'positive'), ('entire transaction', 'neutral')]"
competitive price easy book find local garage,"[('local garage', 'neutral'), ('competitive price easy book', 'positive')]"
excellent customer service sk8 tyre despite lose locking wheel nut key,"[('lose locking wheel nut key', 'negative'), ('excellent customer service sk8 tyre', 'positive')]"
good price excellent service tyre fit want have hang,"[('good price excellent service tyre fit want', 'positive')]"
poor service garage second time buy tyre experience time good order online fine garage fail change tyre morning specify morning time slot plan afternoon need road garage provide excuse unusually busy acceptable,"[('good order', 'positive'), ('second', 'neutral'), ('road garage', 'neutral'), ('excuse', 'positive'), ('morning', 'neutral'), ('afternoon', 'neutral'), ('poor service garage', 'negative')]"
good price good communication great option locally fit tyrestrouble free highly recommend,"[('good price good communication great option', 'positive')]"
need tyre holiday half hour near town check redact good price easy use book place 5 min road great communication perfect not hesitate recommend,"[('recommend', 'positive'), ('tyre holiday', 'positive'), ('5', 'neutral'), ('min road great communication', 'positive'), ('good price easy use book place', 'positive'), ('town check', 'neutral'), ('tyre holiday half hour', 'positive')]"
efficient professional customer service,"[('efficient professional customer service', 'positive')]"
redact 1st time mobile fitting service schedule friday end get 10 advise appointment cancel great experience manage reschedule monday ok office guy great come dust cap fit tyre buy new dust cap,"[('ok office guy', 'positive'), ('friday', 'neutral'), ('great come dust cap fit tyre', 'positive'), ('10 advise appointment', 'neutral'), ('monday', 'neutral'), ('10', 'neutral'), ('1st time', 'neutral'), ('1st', 'neutral'), ('new dust cap', 'neutral'), ('mobile fitting service schedule', 'neutral'), ('great experience manage reschedule', 'positive')]"
simple use unbeatable price great choice tyre budget use 😁,"[('unbeatable price great choice tyre budget', 'positive'), ('😁', 'positive')]"
easy use website sensible pricing plenty choice availability friendliness reliability fitter,"[('easy use website sensible pricing plenty choice availability friendliness reliability fitter', 'positive')]"
fast efficient service competitive price,"[('fast efficient service competitive price', 'positive')]"
change order mistake order run flat x3   get email point helpful   call change order handle wellhappy service receive,"[('email point', 'neutral'), ('helpful   call change order', 'positive'), ('order mistake order', 'negative'), ('flat x3', 'neutral'), ('x3', 'neutral'), ('wellhappy service', 'neutral')]"
efficient excellent customer service,"[('efficient excellent customer service', 'positive')]"
easy order   great value,"[('easy order   great value', 'positive')]"
initial booking time cancel second booking progress smoothly,"[('initial booking time', 'neutral'), ('second', 'neutral'), ('second booking progress', 'positive')]"
great price fitting partner awr excellent,"[('great price fitting partner awr excellent', 'positive')]"
easy order keep update order tweedale motor give excellent service,"[('update order tweedale motor', 'neutral'), ('easy order', 'positive'), ('excellent service', 'positive')]"
great value   service fitting partner water orton,"[('great value   service fitting partner water orton', 'positive')]"
easy select correct tyre local garage fit website anthony luff co friendly helpful use,"[('easy select correct tyre local garage fit website anthony luff', 'positive'), ('anthony luff', 'neutral')]"
price ease make arrangement purchase right tyre time wiltshire tyre excellent fit tyre need thank,"[('wiltshire tyre', 'neutral'), ('price ease', 'positive'), ('tyre time wiltshire tyre excellent fit tyre', 'positive'), ('arrangement purchase right', 'neutral')]"
fast efficient service competitive price,"[('fast efficient service competitive price', 'positive')]"
excellent service good communication drop car pick tyre change competitive price,"[('tyre change competitive price', 'positive')]"
easy use competitive pricing,"[('competitive pricing', 'positive')]"
simply good online tyre retailer offer value convenience,"[('simply good online tyre retailer', 'positive'), ('value convenience', 'positive')]"
provide excellent service product align range average reliable garage,"[('excellent service product align range average reliable garage', 'positive')]"
great price easy,[]
